FileName,Vertices,MaxFlow,TimeInSecsPrePush,TimeInSecsScale,TimeInSecsFordalt,TimeInSecsFordFulkerson
TestFiles2/Bipartite-EdgesProb-0.1.txt,202,1903,0.012,0.076,0.132,0.084
TestFiles2/Bipartite-EdgesProb-0.2.txt,202,2672,0.004,0.025,0.070,0.069
TestFiles2/Bipartite-EdgesProb-0.3.txt,202,2367,0.022,0.023,0.063,0.049
TestFiles2/Bipartite-EdgesProb-0.4.txt,202,2651,0.006,0.024,0.076,0.048
TestFiles2/Bipartite-EdgesProb-0.5.txt,202,2382,0.042,0.033,0.077,0.047
TestFiles2/Bipartite-EdgesProb-0.6.txt,202,2473,0.007,0.034,0.095,0.052
TestFiles2/Bipartite-EdgesProb-0.7.txt,202,2515,0.050,0.039,0.100,0.041
TestFiles2/Bipartite-EdgesProb-0.8.txt,202,2516,0.007,0.042,0.094,0.041
TestFiles2/Bipartite-EdgesProb-0.9.txt,202,2420,0.068,0.058,0.099,0.036
TestFiles2/Bipartite-EdgesProb-1.txt,202,2353,0.009,0.069,0.110,0.052
TestFiles2/Bipartite-minmax-1-100.txt,202,5025,0.006,0.021,0.079,0.071
TestFiles2/Bipartite-minmax-1-50.txt,202,2429,0.006,0.032,0.095,0.044
TestFiles2/Bipartite-minmax-100-1000.txt,202,53541,0.029,0.039,0.099,0.042
TestFiles2/Bipartite-minmax-100-2000.txt,202,103964,0.004,0.032,0.093,0.077
TestFiles2/Bipartite-minmax-1000-5000.txt,202,295232,0.004,0.030,0.066,0.044
TestFiles2/Bipartite-minmax-1000-8000.txt,202,418222,0.004,0.022,0.068,0.038
TestFiles2/Bipartite-minmax-50-100.txt,202,7464,0.004,0.025,0.061,0.036
TestFiles2/Bipartite-minmax-50-150.txt,202,9620,0.006,0.046,0.074,0.034
TestFiles2/Bipartite-minmax-5000-10000.txt,202,731998,0.043,0.045,0.058,0.036
TestFiles2/Bipartite-minmax-5000-20000.txt,202,1270634,0.007,0.034,0.083,0.044
TestFiles2/Bipartite-Nodes-10-10.txt,22,192,0.000,0.000,0.000,0.000
TestFiles2/Bipartite-Nodes-100-100.txt,202,2218,0.006,0.032,0.075,0.054
TestFiles2/Bipartite-Nodes-120-100.txt,222,2615,0.070,0.030,0.091,0.080
TestFiles2/Bipartite-Nodes-150-100.txt,252,2237,0.292,0.054,0.097,0.061
TestFiles2/Bipartite-Nodes-150-150.txt,302,3677,0.013,0.079,0.268,0.162
TestFiles2/Bipartite-Nodes-150-50.txt,202,1181,0.151,0.015,0.024,0.022
TestFiles2/Bipartite-Nodes-150-80.txt,232,1790,0.213,0.030,0.060,0.046
TestFiles2/Bipartite-Nodes-20-10.txt,32,210,0.001,0.001,0.001,0.001
TestFiles2/Bipartite-Nodes-50-100.txt,152,1505,0.002,0.007,0.022,0.015
TestFiles2/Bipartite-Nodes-70-70.txt,142,1638,0.004,0.015,0.044,0.017
TestFiles2/FD-cap-1-100.txt,102,1533,0.008,0.006,0.012,0.007
TestFiles2/FD-cap-1-50.txt,102,728,0.002,0.005,0.008,0.007
TestFiles2/FD-cap-100-1000.txt,102,16655,0.002,0.005,0.014,0.008
TestFiles2/FD-cap-100-2000.txt,102,29295,0.002,0.004,0.008,0.007
TestFiles2/FD-cap-1000-5000.txt,102,80364,0.007,0.012,0.008,0.007
TestFiles2/FD-cap-1000-8000.txt,102,125781,0.008,0.009,0.012,0.012
